,Voucher Number,Voucher_Date,Credit,Invoice_number
0,ESS/RV200083,2020-12-20,750.0,ESS/INV0001
0,ESS/CN200002,2020-12-01,1736.66,ESS/IVO200095
1,ESS/RV230285,2023-05-22,54940.0,ESS/IVO200095
0,ESS/RV200105,2020-12-20,6400.0,ESS/IVO200096
0,ESS/RV200084,2020-12-23,15600.0,ESS/IVO200098
0,ESS/RV210108,2021-01-21,6400.0,ESS/IVO200099
0,ESS/RV210591,2021-04-06,6400.0,ESS/IVO200100
0,ESS/RV210108,2021-01-21,28800.0,ESS/IVO200101
0,ESS/RV210108,2021-01-21,6400.0,ESS/IVO200102
0,ESS/RV210108,2021-01-21,6400.0,ESS/IVO200103
0,ESS/RV200084,2020-12-23,12800.0,ESS/IVO200104
0,ESS/RV200088,2020-12-28,7800.0,ESS/IVO200105
0,ESS/RV200105,2020-12-20,12800.0,ESS/IVO200097
0,ESS/RV210062,2021-02-11,6400.0,ESS/IVO200106
0,ESS/RV210062,2021-02-11,6400.0,ESS/IVO200107
0,ESS/RV210062,2021-02-11,6400.0,ESS/IVO200108
0,ESS/RV210062,2021-02-11,6400.0,ESS/IVO200109
0,ESS/RV210062,2021-02-11,12800.0,ESS/IVO200110
0,ESS/RV210062,2021-02-11,15600.0,ESS/IVO200111
0,ESS/RV210062,2021-02-11,6400.0,ESS/IVO200112
0,ESS/RV210062,2021-02-11,3200.0,ESS/IVO200113
0,ESS/RV210062,2021-02-11,7800.0,ESS/IVO200114
0,ESS/RV210062,2021-02-11,6400.0,ESS/IVO200115
0,ESS/RV210062,2021-02-11,6400.0,ESS/IVO200116
0,ESS/RV210062,2021-02-11,3200.0,ESS/IVO200117
0,ESS/RV210062,2021-02-11,3200.0,ESS/IVO200118
0,ESS/RV210039,2021-01-18,13535.0,ESS/IVO200119
0,ESS/RV210039,2021-01-18,9750.0,ESS/IVO200120
0,ESS/RV210039,2021-01-18,3250.0,ESS/IVO200121
0,ESS/RV210039,2021-01-18,13550.0,ESS/IVO200122
0,ESS/RV210039,2021-01-18,10300.0,ESS/IVO200123
0,ESS/RV210039,2021-01-18,9850.0,ESS/IVO200124
0,ESS/RV210039,2021-01-18,10300.0,ESS/IVO200125
0,ESS/RV210039,2021-01-18,3250.0,ESS/IVO200126
0,ESS/RV210039,2021-01-18,10285.0,ESS/IVO200127
0,ESS/RV210039,2021-01-18,6600.0,ESS/IVO200128
0,ESS/RV210039,2021-01-18,6500.0,ESS/IVO200129
0,ESS/RV210031,2021-01-11,9600.0,ESS/IVO200130
1,ESS/RV210247,2021-06-03,3200.0,ESS/IVO200130
0,ESS/RV200061,2020-12-09,104200.0,ESS/IVO200131
0,ESS/RV200098,2020-12-23,9200.0,ESS/IVO200132
0,ESS/RV210631,2021-12-31,6400.0,ESS/IVO200133
0,ESS/RV210053,2021-01-24,2975.0,ESS/IVO200134
0,ESS/RV210332,2021-10-17,16800.0,ESS/IVO200135
0,ESS/RV210038,2021-01-18,3100.0,ESS/IVO200136
0,ESS/RV210007,2021-02-14,6000.0,ESS/IVO200137
0,ESS/RV210016,2021-02-01,9000.0,ESS/IVO200138
0,ESS/RV210045,2021-01-21,17800.0,ESS/IVO200139
0,ESS/RV200097,2020-12-23,25600.0,ESS/IVO200140
0,ESS/RV210041,2021-01-19,10200.0,ESS/IVO200141
0,ESS/RV200095,2020-12-15,12800.0,ESS/IVO200142
0,ESS/RV200096,2020-12-10,16500.0,ESS/IVO200143
0,ESS/RV210273,2021-10-26,3200.0,ESS/IVO200144
0,ESS/RV200100,2020-12-23,15000.0,ESS/IVO200145
0,ESS/RV220310,2022-08-25,6400.0,ESS/IVO200146
0,ESS/RV200099,2020-12-29,32600.0,ESS/IVO200147
0,ESS/RV210026,2021-01-05,6000.0,ESS/IVO200148
0,ESS/RV210237,2021-03-02,5500.0,ESS/IVO200149
0,ESS/RV210576,2021-01-21,12800.0,ESS/IVO200150
0,ESS/RV210576,2021-01-21,16000.0,ESS/IVO200151
0,ESS/RV200089,2020-12-15,9300.0,ESS/IVO200152
0,ESS/RV200094,2020-12-30,6000.0,ESS/IVO200153
0,ESS/RV200090,2020-12-15,8625.0,ESS/IVO200155
0,ESS/RV210050,2021-01-24,25920.0,ESS/IVO200156
0,ESS/RV210036,2021-01-14,2850.0,ESS/IVO200157
0,ESS/JV200106,2020-12-31,23400.0,ESS/IVO200158
0,ESS/RV210042,2021-01-21,6400.0,ESS/IVO200159
0,ESS/RV210042,2021-01-21,60200.0,ESS/IVO200160
0,ESS/RV210042,2021-01-21,20500.0,ESS/IVO200161
0,ESS/RV210042,2021-01-21,55100.0,ESS/IVO200162
0,ESS/RV200086,2020-12-31,2200.0,ESS/IVO200163
0,ESS/RV210004,2021-02-21,3253.33,ESS/IVO200164
0,ESS/RV210604,2021-06-02,6400.0,ESS/IVO200165
0,ESS/RV210058,2021-01-28,12800.0,ESS/IVO200166
