,Voucher Date,Voucher Number,Debit Amount,Transaction Type,Ledger Code,Ledger Name,Fourth Level Group Name,Due Date
28,2020-11-19,ESS/INV0001,750.0,Project Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4704,2020-11-30,ESS/IVO200095,56676.66,Contract Invoice,1020201011,Boom Construction Company,Assets,2020-12-31
4706,2020-11-30,ESS/IVO200096,6400.0,Contract Invoice,1020402002,Nasser Bin Khaled and Sons Real Estate Co. W.L.L,Assets,2021-01-31
4708,2020-11-30,ESS/IVO200098,15600.0,Contract Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4710,2020-11-30,ESS/IVO200099,6400.0,Contract Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4712,2020-11-30,ESS/IVO200100,6400.0,Contract Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4714,2020-11-30,ESS/IVO200101,28800.0,Contract Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4716,2020-11-30,ESS/IVO200102,6400.0,Contract Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4718,2020-11-30,ESS/IVO200103,6400.0,Contract Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4720,2020-11-30,ESS/IVO200104,12800.0,Contract Invoice,1020404003,Nasser Bin Khaled & Sons Automobiles W.L.L,Assets,2021-01-31
4722,2020-11-30,ESS/IVO200105,7800.0,Contract Invoice,1020406002,Private Office,Assets,2021-01-31
4724,2020-11-30,ESS/IVO200097,12800.0,Contract Invoice,1020402002,Nasser Bin Khaled and Sons Real Estate Co. W.L.L,Assets,2021-01-31
4726,2020-11-30,ESS/IVO200106,6400.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4728,2020-11-30,ESS/IVO200107,6400.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4730,2020-11-30,ESS/IVO200108,6400.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4732,2020-11-30,ESS/IVO200109,6400.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4734,2020-11-30,ESS/IVO200110,12800.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4736,2020-11-30,ESS/IVO200111,15600.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4738,2020-11-30,ESS/IVO200112,6400.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4740,2020-11-30,ESS/IVO200113,3200.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4742,2020-11-30,ESS/IVO200114,7800.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4744,2020-11-30,ESS/IVO200115,6400.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4746,2020-11-30,ESS/IVO200116,6400.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4748,2020-11-30,ESS/IVO200117,3200.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4750,2020-11-30,ESS/IVO200118,3200.0,Contract Invoice,1020404009,Qatar Automobiles Company W.L.L.,Assets,2021-01-31
4752,2020-11-30,ESS/IVO200119,13535.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4754,2020-11-30,ESS/IVO200120,9750.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4756,2020-11-30,ESS/IVO200121,3250.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4758,2020-11-30,ESS/IVO200122,13550.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4760,2020-11-30,ESS/IVO200123,10300.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4762,2020-11-30,ESS/IVO200124,9850.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4765,2020-11-30,ESS/IVO200125,10300.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4766,2020-11-30,ESS/IVO200126,3250.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4768,2020-11-30,ESS/IVO200127,10285.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4770,2020-11-30,ESS/IVO200128,6600.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4772,2020-11-30,ESS/IVO200129,6500.0,Contract Invoice,1020406004,Nasser Bin Khaled & Sons Trading Company,Assets,2021-01-31
4774,2020-11-30,ESS/IVO200130,12800.0,Contract Invoice,1020201014,Doha Insurance Group Q.P.S.C,Assets,2020-12-31
4776,2020-11-30,ESS/IVO200131,104200.0,Contract Invoice,1020201057,Wathnan Mall,Assets,2020-12-31
4778,2020-11-30,ESS/IVO200132,9200.0,Contract Invoice,1020201041,Oil Refinery Recycling Company,Assets,2020-12-31
4780,2020-11-30,ESS/IVO200133,6400.0,Contract Invoice,1020404002,H-Deco Qatar W.L.L,Assets,2021-01-31
4782,2020-11-30,ESS/IVO200134,2975.0,Contract Invoice,1020201002,Al Bayader International,Assets,2020-12-31
4784,2020-11-30,ESS/IVO200135,16800.0,Contract Invoice,1020201048,SIEMENS WLL,Assets,2021-02-28
4786,2020-11-30,ESS/IVO200136,3100.0,Contract Invoice,1020201017,Food Plus Hyper Market W.L.L,Assets,2020-12-31
4788,2020-11-30,ESS/IVO200137,6000.0,Contract Invoice,1020201001,Al Baker Trading Company,Assets,2020-12-31
4790,2020-11-30,ESS/IVO200138,9000.0,Contract Invoice,1020201012,Capital Hypermarket,Assets,2020-12-31
4792,2020-11-30,ESS/IVO200139,17800.0,Contract Invoice,1020201058,West Bay Medicare,Assets,2020-12-31
4794,2020-11-30,ESS/IVO200140,25600.0,Contract Invoice,1020201053,Trust Exchange Company W.L.L,Assets,2020-12-31
4796,2020-11-30,ESS/IVO200141,10200.0,Contract Invoice,1020201052,Travelex Qatar,Assets,2020-12-31
4798,2020-11-30,ESS/IVO200142,12800.0,Contract Invoice,1020201027,LULU Exchange Qatar W.L.L,Assets,2020-12-31
4800,2020-11-30,ESS/IVO200143,16500.0,Contract Invoice,1020201016,Eastern Exchange Qatar W.L.L,Assets,2020-12-31
4802,2020-11-30,ESS/IVO200144,3200.0,Contract Invoice,1020201018,Global Food Trading,Assets,2020-12-31
4804,2020-11-30,ESS/IVO200145,15000.0,Contract Invoice,1020201028,Mashreq Bank P.Q.S.C,Assets,2020-12-31
4806,2020-11-30,ESS/IVO200146,6400.0,Contract Invoice,1020201030,Matrix Incorporated Contracting Co W.L.L,Assets,2020-12-31
4808,2020-11-30,ESS/IVO200147,32600.0,Contract Invoice,1020201024,Integrated Intelligence Services L.L.C,Assets,2020-12-31
4810,2020-11-29,ESS/IVO200148,6000.0,Contract Invoice,1020201060,Al Baker Medical Warehuse,Assets,2020-12-31
4812,2020-11-30,ESS/IVO200149,5500.0,Contract Invoice,1020201007,Astad Project Management,Assets,2020-12-31
4814,2020-11-30,ESS/IVO200150,12800.0,Contract Invoice,1020402001,Heirs of Nasser Bin Khalid Holding W.L.L,Assets,2021-01-31
4816,2020-11-30,ESS/IVO200151,16000.0,Contract Invoice,1020402001,Heirs of Nasser Bin Khalid Holding W.L.L,Assets,2021-01-31
4818,2020-11-30,ESS/IVO200152,9300.0,Contract Invoice,1020201003,Al Jabor Real Estate Investment Co. Ltd,Assets,2020-12-31
4820,2020-11-30,ESS/IVO200153,6000.0,Contract Invoice,1020201055,United International Trading & Contract,Assets,2020-12-31
4822,2020-11-30,ESS/IVO200155,8625.0,Contract Invoice,1020201021,Hayat Universal School,Assets,2020-12-31
4824,2020-11-30,ESS/IVO200156,25920.0,Contract Invoice,1020406003,Q Auto,Assets,2021-01-31
4826,2020-11-30,ESS/IVO200157,2850.0,Contract Invoice,1020201026,Kangaroo Kids Pre-School,Assets,2020-12-31
4828,2020-11-30,ESS/IVO200158,23400.0,Contract Invoice,1020201061,Al Jazeera Land,Assets,2020-12-31
4830,2020-11-30,ESS/IVO200159,6400.0,Contract Invoice,1020406001,Al Waab City W.L.L,Assets,2021-01-31
4832,2020-11-30,ESS/IVO200160,60200.0,Contract Invoice,1020406001,Al Waab City W.L.L,Assets,2021-01-31
4834,2020-11-30,ESS/IVO200161,20500.0,Contract Invoice,1020406001,Al Waab City W.L.L,Assets,2021-01-31
4836,2020-11-30,ESS/IVO200162,55100.0,Contract Invoice,1020406001,Al Waab City W.L.L,Assets,2021-01-31
4838,2020-11-30,ESS/IVO200163,2200.0,Contract Invoice,1020403001,Nasser Bin Nawaf & Partners Holding W.L.L,Assets,2020-12-31
4840,2020-11-30,ESS/IVO200164,3253.33,Contract Invoice,1020201064,Saraya Hotel,Assets,2020-12-31
4842,2020-11-30,ESS/IVO200165,6400.0,Contract Invoice,1020404001,Auto Class Automobiles,Assets,2021-01-31
4844,2020-11-30,ESS/IVO200166,12800.0,Contract Invoice,1020404008,NBK Ready Mix,Assets,2021-01-31
