Company,Elite Security Services W.L.L,Premium Hospitality W.L.L,N.B.N Triptikum W.L.L,N.B.N Technologies W.L.L,N.B.N Real Estate W.L.L,N.B.N Logistics W.L.L,N.B.N. Media W.L.L,N.B.N. Sea Freight W.L.L,N.B.N Holding W.L.L,GAT Middle East W.L.L,MESAP,AZVI Middle East W.L.L,PBG-NBN Contracting W.L.L,Amiri Gems W.L.L,Collaboration Management and Control Solutions Qatar W.L.L,NBN Athletics W.L.L,Nasser Bin Khaled Al-Thani & Sons Holding Company,Heirs of Nasser Bin Khaled & Sons Holding Company,Nasser Bin Khaled Real Estate W.L.L,Sheikh Nawaf Nasser KH A Al-Thani,Sheikh Nasser Nawaf N K Al-Thani,Hassan Matar S Al-Sowaidi,Qatar Automobiles Company W.L.L,Nasser Bin Khaled Services Center W.L.L,Auto Class Automobiles W.L.L,Nasser Bin Khaled Travel & Tourism W.L.L,Nasser Bin Khaled Tires Services W.L.L.,Nasser Bin Khaled Automobiles W.L.L,Nasser Bin Khaled Powered Sports W.L.L,Nasser Bin Khaled & Sons Trading Company W.L.L,Q-Auto W.L.L,Doha Academy,AFG College W.L.L,H-Deco Qatar W.L.L,Nasser Bin Khaled Medical Equipments W.L.L,Ziebart Qatar W.L.L,Nasser Bin Khaled Ready Mix W.L.L,Nasser Bin Khaled Heavy Equipment W.L.L,Nasser Bin Khaled & Sons Projects Promotion Co. W.L.L,Nasser Bin Nawaf Trading W.L.L,Nasser Bin Khaled Awla Heavy Equipment W.L.L,Nasser Bin Khaled Charitable Foundation,Nasser Bin Khaled Fashion W.L.L,National Industrial Contracting Company W.L.L,Prime Qatar W.L.L,Georges Henry Issa,Omar Nasreddine,Nasser Bin Khaled & Al Mulla Rent A Car W.L.L,Triptikum S.A.L,GHI Holding S.A.L
Elite Security Services W.L.L,0.0,501632.61000000004,0.0,-26109.179999999993,-591116.93,294606.34,0.0,0.0,2862693.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-342007.12999999954,1920.0000000000655,7200.0,0.0,0.0,998370.0,394022.99,1781.0,76134.64,1.8189894035458565e-12,-1500.0000000000018,-25347.109999999986,0.0,118300.00000000004,1.4551915228366852e-11,34800.0,29600.0,57600.0,0.0,4146.65,32400.0,21600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premium Hospitality W.L.L,-501341.00999999995,0.0,0.0,0.0,10000.0,-900.0,0.0,0.0,13928.589999999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265528.0,0.0,6000.0,0.0,0.0,0.0,56707.64,0.0,32515.0,0.0,0.0,14789.0,0.0,0.0,0.0,517850.0,178800.0,0.0,0.0,2700.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N.B.N Triptikum W.L.L,0.0,0.0,0.0,0.0,0.0,0.0,233210.0,0.0,-408834.81999999995,-229523.67000000004,0.0,0.0,0.0,0.0,0.0,0.0,380000.0,0.0,0.0,0.0,0.0,0.0,42025.0,10000.0,101900.0,0.0,0.0,71000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356518.0,299300.0,0.0,25303.960000000003,0.0
N.B.N Technologies W.L.L,26109.180000000037,-4.547473508864641e-13,0.0,0.0,-264721.72,-2896.4899999999907,0.0,0.0,345435.9199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.820766091346741e-11,5.820766091346741e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N.B.N Real Estate W.L.L,586716.9299999999,-19000.0,0.0,264721.72,0.0,-9526612.21,0.0,0.0,-91950999.09,0.0,0.0,0.0,0.0,0.0,0.0,276355.0,0.0,10000000.0,-703561.9,-136526455.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83399.15999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,-28150993.5,0.0,0.0,0.0,0.0,0.0,0.0
N.B.N Logistics W.L.L,-298606.3400000001,900.0,0.0,396.4899999999907,9526612.21,0.0,0.0,57340.0,-1161922.1400000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-931699.7599999998,0.0,0.0,17545.669999999976,0.0,0.0,196464.1000000002,40740.0,220082.2834999999,0.0,65754.00000000012,2185029.6206000005,28850.0,64095.70000000013,135022.03500000015,0.0,0.0,0.0,67059.70999999999,6585.0,0.0,322561.7775000001,1344.680000000003,0.0,28508.995000000054,0.0,-0.005000000004656613,0.0,72405.0,0.0,0.0,0.0,0.0,0.0
N.B.N. Media W.L.L,0,0,-233210,0,0,0,0,0,108540,-21200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
N.B.N. Sea Freight W.L.L,0.0,0.0,0.0,0.0,0.0,-50340.0,0.0,0.0,985130.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N.B.N Holding W.L.L,-2164015.79,198017.41000000006,9067.820000000065,-342937.52999999985,95485697.82999998,1417036.8099999968,-108540.0,-985130.06,0.0,550.0400000000373,15000.0,0.0,0.0,0.0,0.0,362860.98,584613.9100000001,-10956117.889999999,2480.0,49897047.79,1668955.7599999998,0.0,0.0,0.0,-1025.0,0.0,0.0,-389619.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9288.5,0.0,0.0,0.0,-626126.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAT Middle East W.L.L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
