,Job_Code,Interest,Investment,Gross Revenue,Net Revenue,Initial Profit,Current Profit,Customer_Code,Cus_Name
0,NBNLSI222648,0.0,0.0,2846.5,800.0,-139.80490952308747,-139.80490952308747,C00174,SALAM STUDIO & STORES
1,NBNLSI222515,42.29,1100.0,1630.0,1530.0,323.49301742741403,281.203017427414,CUS0368,TADMUR PUMP FACTORY
2,NBLAIFCT210412,0.0,0.0,4252.25,4252.25,381.63331730852207,381.63331730852207,CUS0048,Chip International
3,NBNLSIF240297,1.54,7480.626356819572,7300.0,7300.0,-180.62635681957158,-182.16635681957158,CUS0211,LTC International Qatar LLC
4,NBNLAIFCT210671,0.0,0.0,3132.0,3132.0,1480.5518916584715,1480.5518916584715,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
5,NBLAIP210083,0.0,0.0,668.6,390.0,86.58615903802603,86.58615903802603,C00137,NBK AWLA HEAVY EQ
6,NBNLRRI241614,1.33,799.0251700159448,5145.0,4545.0,1226.2180094008131,1224.8880094008132,CUS0010,Auto Class Automobiles
7,NBNLSI211055,0.0,0.0,1200.0,-500.0,-1186.5349719441795,-1186.5349719441795,CUS0013,NBK Tyre Services
8,NBLSEC210006,0.0,0.0,12081.5,11981.5,3054.8798133534146,3054.8798133534146,CUS0053,FORMA GROUP
9,NBLLCLIFCT210016,0.0,0.0,6888.8,4282.5,921.9031538053878,921.9031538053878,C00225,NBK Heavy Equipment
10,NBNLAIFCT210923,0.0,0.0,684.0,684.0,-706.3493739789794,-706.3493739789794,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
11,NBNLSI211372,0.0,0.0,40250.0,1550.0,350.0,350.0,C00182,Suncons Trading & Contracting WLL
12,NBLAIFCT200079,0.0,0.0,1632.0,1332.0,423.31435398652394,423.31435398652394,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
13,NBNLSI211273,0.0,0.0,3545.0,750.0,122.49234993348585,122.49234993348585,C00174,SALAM STUDIO & STORES
14,NBNLCRI210045,0.0,0.0,3106.0,1663.0,466.70373604172903,466.70373604172903,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
15,NBNLSI233334,130.76,5379.538338384718,5745.0,1025.0,365.46166161528174,234.70166161528175,CUS0491,JADARA TRADING & CONTRACTING
16,NBLSI200644,0.05,0.0,4065.0,1320.0,571.4739240428145,571.4239240428145,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
17,NBNLSI210780,0.0,0.0,1370.0,1320.0,609.2656694683369,609.2656694683369,CUS0013,NBK Tyre Services
18,NBNLSI210994,0.0,0.0,200.0,200.0,123.08959889258361,123.08959889258361,C00011,AL BASET TRADING AND TRANSPORTION CO
19,NBNLRRI231410,25.06,1674.621139179677,1820.0,1295.0,145.40890228979052,120.34890228979052,C00164,Qatar Automobiles Company W.L.L.
20,NBNLSI233766,210.87,8255.568624461273,9445.0,3700.0,2119.431375538726,1908.5613755387262,C00231,Nasser Bin Khaled Service Centers W.L.L
21,NBNLSI211249,0.0,0.0,1550.0,1050.0,311.974469511134,311.974469511134,C00136,NBK & Sons Trading Co
22,NBNLSI234014,79.01,3331.1847931322372,3388.2,800.0,57.01520686776263,-21.994793132237376,C00174,SALAM STUDIO & STORES
23,NBNLSIFCT220584,0.0,0.0,14320.0,14320.0,1842.9216872732084,1842.9216872732084,CUS0260,Alaska Cleaning Centre
24,NBLAIFCT200009,0.0,0.0,1284.0,984.0,527.0445595014814,527.0445595014814,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
25,NBNLAIP231392,41.75,474.2575519535915,715.0,340.0,75.76232770879487,34.01232770879487,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
26,NBNLAIFCT210588,0.0,0.0,660.0,660.0,-205.9276069818543,-205.9276069818543,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
27,NBNLSI210963,0.0,0.0,64700.0,1450.0,207.63312087067976,207.63312087067976,C00185,TECHNO BLUE W.L.L
28,NBNLSIF240256,338.4,19686.26987688634,20765.0,13150.0,1078.7301231136607,740.3301231136608,CUS0192,INTERCARE HYGIENE
29,NBNLAIFCT210900,0.0,0.0,7812.0,7812.0,4838.209876457799,4838.209876457799,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
30,NBLAIPQ210074,0.0,0.0,1921.0,650.0,229.46964859866046,229.46964859866046,C00222,Q-AUTO L.L.C.
31,NBLSI210533,0.0,0.0,4321.5,1050.0,364.914871638768,364.914871638768,C00174,SALAM STUDIO & STORES
32,NBNLAIFCT210744,0.0,0.0,6190.8,5807.8,688.6114586261288,688.6114586261288,C00174,SALAM STUDIO & STORES
33,NBLSI210269,0.0,0.0,43644.0,13725.0,-2777.343378426132,-2777.343378426132,CUS0099,Pistoia Decoration
34,NBNLSI222762,453.3,4200.456890695044,11705.0,2075.0,504.6335496319686,51.333549631968594,CUS0425,Q Choice Trading & services
35,NBNLRRI241457,53.71,2897.2407118464466,4105.0,3580.0,1207.8783849416786,1154.1683849416786,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
36,NBNLAIFCT210801,0.0,0.0,7092.35,6709.35,511.26017809335343,511.26017809335343,C00174,SALAM STUDIO & STORES
37,NBNLRRI220412,0.0,0.0,7765.0,7270.0,839.7676597366154,839.7676597366154,C00164,Qatar Automobiles Company W.L.L.
38,NBNLSI244504,61.01,3423.3832109514956,3545.0,250.0,121.86713462739914,60.85713462739914,CUS0630,AGROGLOBAL TRADING WLL
39,NBNLSI233138,39.4,2909.377411707972,3260.0,975.0,350.6534654827668,311.25346548276684,CUS0310,SAUDIA HYPERMARKET
40,NBNLSI233657,19.67,736.157815032923,775.0,250.0,38.842184967076996,19.172184967076994,C00164,Qatar Automobiles Company W.L.L.
41,NBNLSI233867,39.45,3012.829849564239,3772.0,1575.0,604.1748041738556,564.7248041738555,CUS0310,SAUDIA HYPERMARKET
42,NBNLSI221819,0.0,0.0,11000.25,1250.0,478.44776254134797,478.44776254134797,CUS0012,NBK Medical Equipments
43,NBNLAIP220855,0.0,0.0,3581.0,850.0,215.02137351850615,215.02137351850615,C00136,NBK & Sons Trading Co
44,NBNLSIFCT220548,0.0,0.0,44585.0,37600.0,2097.465600596509,2097.465600596509,C00136,NBK & Sons Trading Co
45,NBNLRRI230932,40.94,1913.857265625766,2130.0,1530.0,216.3794345359031,175.4394345359031,CUS0010,Auto Class Automobiles
46,NBNLMICC240378,5.13,770.1480436737028,1417.0,1417.0,648.383451421829,643.253451421829,CUS0041,Nasser Bin Khaled Powered Sports
47,NBNLAIFCT231437,60.96,4213.103128592114,5254.3,4809.3,1041.3124321272528,980.3524321272528,C00225,NBK Heavy Equipment
48,NBLAIPQ210112,0.0,0.0,983.0,650.0,281.9123769724014,281.9123769724014,C00222,Q-AUTO L.L.C.
49,NBNLSI210887,0.0,0.0,5358.42,570.0,187.88433213629983,187.88433213629983,C00137,NBK AWLA HEAVY EQ
50,NBNLAIP220891,0.0,0.0,1637.02,550.0,181.84212247639704,181.84212247639704,C00063,FRIENDLY FOOD QATAR
51,NBNLRRI220562,0.0,0.0,2965.0,2365.0,254.99271893364826,254.99271893364826,CUS0010,Auto Class Automobiles
52,NBNLAIP241565,9.02,1379.296682887687,1499.0,350.0,119.70331711231299,110.68331711231299,CUS0041,Nasser Bin Khaled Powered Sports
53,NBNLSI222270,0.0,0.0,2700.0,2550.0,570.0701895003247,570.0701895003247,CUS0337,TADMUR TRADING WLL
