Customer,Settlement Duration(30K),Age Bracket(20K),GP Generated(35K),Established Since(5K),Worked Since(10K),Total(100K)
1020404012,28056.776500944732,19926.743760138143,15594.14587286151,4000.0,8000.0,75577.66613394438
1020201118,30000.0,5000.0,34407.51340856895,2000.0,2000.0,73407.51340856895
1020201165,30000.0,5000.0,34293.52666126421,2000.0,2000.0,73293.52666126422
1020201251,30000.0,5000.0,34360.660113049234,1000.0,2000.0,72360.66011304923
1020404007,24719.000902395717,19216.90420380349,15345.33797088441,5000.0,8000.0,72281.2430770836
1020201228,30000.0,5000.0,34033.6961775532,1000.0,2000.0,72033.69617755321
1020201262,30000.0,5000.0,33819.61857463716,1000.0,2000.0,71819.61857463716
1020201404,30000.0,5000.0,33549.42628817574,1000.0,2000.0,71549.42628817575
1020201401,30000.0,5000.0,33280.534834692065,1000.0,2000.0,71280.53483469207
1020201449,30000.0,5000.0,33068.396403850675,1000.0,2000.0,71068.39640385067
1020201049,28326.3956339626,19814.53556095313,9487.913025233212,5000.0,8000.0,70628.84422014894
1020406003,28064.944437490944,19996.595023308768,9446.465532526021,5000.0,8000.0,70508.00499332574
1020201240,28484.950873616282,19898.11678199303,12914.029181350437,5000.0,4000.0,70297.09683695974
1020201063,30000.0,5000.0,31292.613321444438,2000.0,2000.0,70292.61332144444
1020404009,23500.24708882898,20000.0,14438.858871034821,4000.0,8000.0,69939.10595986381
1020201299,30000.0,5000.0,31740.728394429618,1000.0,2000.0,69740.72839442962
1020201390,29730.15550360809,20000.0,15987.717759370618,2000.0,2000.0,69717.87326297871
1020405002,28119.36924360599,19953.56741546948,9174.069000633532,4000.0,8000.0,69247.005659709
1020201256,30000.0,20000.0,13089.578022603942,1000.0,4000.0,68089.57802260394
1020201388,30000.0,20000.0,10087.104675993482,5000.0,2000.0,67087.10467599348
1020201435,30000.0,20000.0,13963.797490555104,1000.0,2000.0,66963.7974905551
1020201409,28581.773576737698,19548.063757402844,14528.481859289806,2000.0,2000.0,66658.31919343035
1020404001,27601.665066456273,18159.010083921214,7754.116983849519,5000.0,8000.0,66514.792134227
1020201358,29187.9028996393,18892.447178213868,11286.85716163472,5000.0,2000.0,66367.20723948788
1020201395,29441.752917859503,19999.999999999996,9067.115525152825,5000.0,2000.0,65508.868443012325
1020201016,29631.727739469647,20000.0,5811.0910711183415,2000.0,8000.0,65442.81881058798
1020201275,25900.569081840727,20000.0,10500.010329022647,5000.0,4000.0,65400.57941086338
1020404010,27775.756458021613,15469.479675152925,9096.31763148715,5000.0,8000.0,65341.55376466169
1020201069,30000.0,5000.0,26329.060830801485,2000.0,2000.0,65329.060830801485
1020201160,30000.0,5000.0,26279.877635629033,2000.0,2000.0,65279.87763562903
1020201311,28349.239645097536,19703.893393127968,9861.154130916151,5000.0,2000.0,64914.28716914165
1020404004,29731.418382122592,17985.036645407992,3975.1696656772433,5000.0,8000.0,64691.62469320782
1020201274,28184.324277101,15951.523923967665,13110.923530742806,3000.0,4000.0,64246.771731811474
1020201192,30000.0,16000.0,12587.123836840532,1000.0,4000.0,63587.12383684053
1020201424,30000.0,20000.0,10523.73782891023,1000.0,2000.0,63523.737828910234
1020404011,24236.20168601877,20000.0,11959.479735921326,5000.0,2000.0,63195.6814219401
1020404003,21702.950597486277,18818.663604757192,10551.469395350683,4000.0,8000.0,63073.083597594145
1020201153,30000.0,5000.0,23971.61574716806,2000.0,2000.0,62971.61574716806
1020201060,30000.0,20000.000000000015,5663.757952950117,5000.0,2000.0,62663.75795295013
1020404005,26636.612472901517,18776.435906414652,3720.620450908687,5000.0,8000.0,62133.66883022486
1020201241,26685.07397099751,18952.2484932777,11325.856015450418,1000.0,4000.0,61963.178479725626
1020201129,30000.0,5000.0,22614.69681651172,2000.0,2000.0,61614.69681651172
1020201406,29209.11286048018,18000.0,11206.395589683127,1000.0,2000.0,61415.5084501633
1020201332,30000.0,20000.0,8303.941429706712,1000.0,2000.0,61303.94142970671
1020201126,29504.55392849253,4917.425654748755,22160.630828540077,2000.0,2000.0,60582.61041178137
1020201182,26697.53918554441,18999.14138875316,4846.513646896307,4000.0,6000.0,60543.19422119388
1020201398,27000.0,19075.345392394243,8448.246209456633,4000.0,2000.0,60523.59160185087
1020201197,28842.638260225518,20000.0,4042.08909663947,5000.0,2000.0,59884.72735686499
1020201070,30000.0,5000.0,20659.940447544293,2000.0,2000.0,59659.94044754429
1020201101,29000.0,4833.333333333333,21741.926480278657,2000.0,2000.0,59575.25981361199
1020201305,30000.0,10071.925754060325,13358.40897495114,2000.0,4000.0,59430.33472901147
1020201310,30000.0,5000.0,21365.64540895099,1000.0,2000.0,59365.64540895099
1020201362,30000.0,19863.009789092153,2398.031148751424,5000.0,2000.0,59261.04093784358
1020403021,29531.117855028315,4921.852975838053,17756.64331375865,5000.0,2000.0,59209.61414462502
1020201283,30000.0,5000.0,20958.329453721002,1000.0,2000.0,58958.329453721
1020201384,27825.150752027355,16000.0,9120.841691909049,4000.0,2000.0,58945.99244393641
1020201200,30000.0,5000.0,19702.85650793794,2000.0,2000.0,58702.85650793794
1020201002,23521.63122146851,19839.12222758093,5239.112275321215,2000.0,8000.0,58599.865724370655
1020201378,26354.8013456543,14000.0,11203.196757552192,5000.0,2000.0,58557.99810320649
1020201428,30000.0,20000.0,5534.762247185994,1000.0,2000.0,58534.762247185994
1020201414,24000.0,19728.09137689069,7798.2791092251855,5000.0,2000.0,58526.37048611588
1020404002,26795.632522340275,4946.049359123085,13778.60875831716,5000.0,8000.0,58520.29063978052
1020201355,29305.876236278345,18000.0,4896.279879797705,4000.0,2000.0,58202.15611607605
1020201127,27873.089084800504,4645.51484746675,21671.720205741563,2000.0,2000.0,58190.324138008815
1020201413,30000.0,19999.999999999996,5104.084534021615,1000.0,2000.0,58104.08453402162
1020201335,25489.134153415936,17769.443590531817,7520.258945679926,5000.0,2000.0,57778.83668962768
1020405003,30000.0,5000.0,15767.089852099036,5000.0,2000.0,57767.08985209904
1020201410,25236.418424451138,18412.55605381166,7103.570144418519,5000.0,2000.0,57752.544622681315
1020201198,22252.222772832767,3708.703795472128,28734.702956773708,1000.0,2000.0,57695.629525078606
1020201278,24861.08752915441,18898.493372565532,7833.824921063099,2000.0,4000.0,57593.40582278304
1020201059,25746.86535106973,17779.103503987924,3877.9844041522792,2000.0,8000.0,57403.953259209935
1020201245,30000.0,5000.0,19329.085624749157,1000.0,2000.0,57329.08562474916
1020201141,26120.59342248938,4353.4322370815635,22565.700727657764,2000.0,2000.0,57039.72638722871
1020201045,26543.57898706454,18984.724666850914,1429.7804071181174,2000.0,8000.0,56958.08406103357
1020201280,25807.444878970997,14139.013421745873,8969.911641488976,4000.0,4000.0,56916.36994220584
1020201364,28834.573941632643,4805.7623236054405,16045.668114153612,5000.0,2000.0,56686.00437939169
1020201348,30000.0,5000.0,18594.44812541439,1000.0,2000.0,56594.44812541439
1020403040,23409.09756168955,4960.788258580055,19100.28388754542,5000.0,4000.0,56470.169707815025
1020201439,0.0,20000.0,33225.09699272729,1000.0,2000.0,56225.09699272729
1020201387,30000.0,5000.0,18039.511526221904,1000.0,2000.0,56039.511526221904
1020201374,23916.101913013637,13332.250203086922,13685.14703725265,3000.0,2000.0,55933.499153353216
1020201132,30000.000000000007,5000.000000000001,14819.566502894662,2000.0,4000.0,55819.56650289467
1020201271,30000.0,5000.0,17803.52745037445,1000.0,2000.0,55803.52745037445
1020201084,30000.0,5000.0,16022.659665073264,2000.0,2000.0,55022.65966507327
1020201181,30000.0,5000.0,16005.788926840021,2000.0,2000.0,55005.78892684002
1020201420,30000.0,5000.0,16889.42214045002,1000.0,2000.0,54889.42214045002
1020201354,30000.0,5000.0,12864.195186265673,5000.0,2000.0,54864.19518626567
1020201269,30000.0,5000.0,16796.76231852166,1000.0,2000.0,54796.762318521665
1020201268,30000.0,5000.0,16796.76231852166,1000.0,2000.0,54796.762318521665
1020201161,26793.103448275862,20000.0,0.0,2000.0,6000.0,54793.10344827586
1020201392,30000.0,16351.17456824443,1363.332372354309,5000.0,2000.0,54714.50694059874
1020201159,30000.0,5000.0,15659.165676470817,2000.0,2000.0,54659.16567647082
1020201399,24775.590551181103,17497.71081415848,6994.202643474903,3000.0,2000.0,54267.50400881449
1020201351,30000.0,5000.0,16135.898538632164,1000.0,2000.0,54135.898538632166
1020201394,30000.0,5000.0,12088.957012183479,5000.0,2000.0,54088.95701218348
1020201257,30000.0,5000.0,15995.011186830574,1000.0,2000.0,53995.011186830576
1020201328,30000.0,5000.0,15930.86390138731,1000.0,2000.0,53930.86390138731
1020201220,26247.076987178174,17800.694961528916,2869.146331479857,5000.0,2000.0,53916.91828018695
